id,Client,Title,Body,Capstone Program,Faculty,Team,Capstone Course,Course Subject,Course Number,Focus Areas
2001,The Caribbean Cultural Center African Diaspora Institute,"CULTURALLY INFORMED HUMAN RESOURCES STRATEGIES TO ENHANCE
ORGANIZATIONAL WORK CULTURE","The Caribbean Cultural Center African Diaspora Institute (CCCADI)
is an arts, culture, education, and media organization that advances
cultural equity and racial and social justice for African-descendant
communities. CCCADI engaged a Capstone team to develop human
resources (HR) policies and procedures that are enriched by the
organization’s vibrant work culture and will support staff leadership
growth and long-term organizational sustainability. The team
conducted interviews with peer cultural arts organizations and internal
staff, and observed the organization’s culture at internal meetings and
public events, in order to make recommendations for improved HR
policies. This data enabled the team to create a comprehensive policy
toolkit focused on staff development, which includes procedures for job
design, performance appraisal, and professional development.",MGT,Veronica Manning,"Alejandra Beltran
Sara Santini Duran
Kenya Reeves
Matt Wildey",Management and Leadership,CAP-GP,3402,"Environment, Climate Change, and Sustainability, International Development, Education"
2002,CASA Kane County,"DIVERSITY IN VOLUNTEERISM: IMPROVING VOLUNTEER RECRUITMENT
AND RETENTION EFFORTS","Court Appointed Special Advocates (CASA) is a national organization
dedicated to championing the rights and long-term stability of
children in the foster care system. The organization relies heavily on
volunteers to fulfill this mission. CASA Kane County, based in Illinois,
has recently experienced an increased demand for volunteers. The
Capstone team was contracted to develop a recruitment strategy to
engage more volunteer candidates, especially from minority and male
populations. After conducting an internal survey among existing
volunteers and interviews with other CASA chapters, the Capstone
team identified approaches to increase volunteer diversity. The team’s
final report highlights three areas of focus: 1) partnerships with local
organizations, 2) bilingual Spanish-English communication efforts,
and 3) volunteer support programming. The team developed tools to
support these focus areas, including a 12-18 month timeline for each
area of focus, a revised outline for the advocate supervisor handbook,
contacts for partnerships, template language for outreach efforts, and
outlines for media campaigns.",MGT,Veronica Manning,"Gabriel Allocco
Rose DeMarco
Sonia Guio
Grace Kemmler
Amy Sisto",Management and Leadership,CAP-GP,3402,"Communication Skills, Social Justice and Democracy"
2003,DUKE LEMUR CENTER,DEVELOPING CURRICULUM MODULES FOR MIDDLE SCHOOL LEARNING,"Founded in 1966 on the campus of Duke University, the Duke
Lemur Center (DLC) is a world leader in the study, care, and
protection of lemurs—among earth’s most threatened group of
mammals. Educational resources for the middle-school age group
about Madagascar and its lemurs are scarce. Most materials are
designed for either very young students or professional audiences,
and often require an onsite visit to DLC facilities. DLC enlisted a
Capstone team to address these gaps in lemur-focused education by
developing comprehensive curriculum modules for middle school
teachers and students. The team conducted an environmental
scan on peer organizations, completed a literature review on
equitable and effective learning practices, and participated in a
behind-the-scenes tour of DLC. The team produced three lesson
plans that require no specialized knowledge or equipment and are
freely downloadable through the DLC educators’ portal, promoting
widespread use and availability.",MGT,Veronica Manning,"Kojo Dadzie
Mel Dashdorj
Gina Pol
Rachel Waitt",Management and Leadership,CAP-GP,3402,"Environment, Climate Change, and Sustainability, Program Evaluation"
2004,EDUCATION REFORM NOW,IMPROVING BENEFITS AND ORGANIZATIONAL CULTURE,"Education Reform Now (ERN) is a non-partisan, nonprofit think tank
and advocacy organization that promotes increased resources and
innovative reforms in K-16 public education, particularly for students
of color and students from low-income families. ERN’s Human
Resources department engaged the Capstone team to research its
current benefits and rewards package and make recommendations
to remain competitive within the field. ERN also asked the Capstone
team to gather input on employee sentiment around culture
and recommend strategies to improve hybrid team connection.
The team conducted a literature review of the latest research on
hybrid teams and how to retain employees through compensation
packages that include rewards and benefits. The team conducted
an environmental scan that included a culture survey sent to all
employees, interviewed experts in the benefits field, and reviewed
peer organizations’ compensation packages. The team’s final report
provides recommendations on the optimal benefit package to offer
ERN’s employees, how to communicate those benefits clearly, and
strategies for improving culture at all levels.",MGT,Adrian Ogle,"Madochée Bozier
Devan Bratton
Aminata Drame
Rachel Nisenkier
Xinyu Yin",Management and Leadership,CAP-GP,3402,"Program Evaluation, Education, Social Justice and Democracy"
2005,LAUREL HOUSE,STRATEGIES FOR EXPANDING SOCIAL MEDIA AUDIENCE,"Laurel House is a nonprofit that provides services and transitional
housing to survivors of domestic violence and dating violence in the
greater Montgomery County, Pennsylvania community. While it has
strong engagement with current supporters, Laurel House strives to
expand its audience to engage a younger, more diverse demographic
on social media, with an emphasis on communicating that it is
here to help and grateful for support from the community. Laurel
House engaged the Capstone team to develop a digital marketing
playbook with strategies, tools, and tactics to engage its new target
audience. The team completed an external and internal evaluation
of the current nonprofit digital media landscape, evaluated areas for
improvement, and determined potential audience profiles. Using
its findings, the team delivered a digital marketing playbook with
strategic tools to achieve the client’s digital media goals.",MGT,Sonia Balaram,"Hannah Black
Kal Elias
Aline Gue
D'Ante Tinson",Management and Leadership,CAP-GP,3402,"Health, Social Justice and Democracy, Program Evaluation"
2006,LIFESCENE,FUNDRAISING STRATEGIES FOR INCREASING INDIVIDUAL DONORS,"LifeScene, established in 1885, is a family services organization
dedicated to serving the community of Lynn, Massachusetts
through the power of education and community engagement.
The organization accomplishes this through interventions such
as home- and community-based programming, resources, and
support. LifeScene engaged the Capstone team to assess its
current fundraising strategies and enhance its approach to donor
engagement. The team conducted an in-depth analysis of current
fundraising practices, conducted board member interviews, and
completed an environmental scan to identify gaps and areas for
improvement. Using its findings from these activities, the team
developed recommendations for LifeScene’s fundraising playbook.",MGT,Sonia Balaram,"Yolva Dorival
Yangyue Liu
C.J. Pine
Elizabeth Sharon",Management and Leadership,CAP-GP,3402,Philanthropy and Fundraising
2007,LIVING CITY PROJECT,BUILDING A PROGRAM EVALUATION FRAMEWORK,"The Living City Project (LCP) is an educational nonprofit
organization that uses New York City as a classroom to engage
young adults on urban issues. One of LCP’s core program offerings,
CityGAP, is a semester-long gap program that immerses participants
in New York City’s history, policies, and neighborhoods through
individual study, collaborative group projects, service learning
opportunities, and fieldwork activities. LCP enlisted the Capstone
team to develop a program evaluation strategy for CityGAP to
assess student outcomes and promote continuous programmatic
improvement. The Capstone team designed a robust logic model
for CityGAP, conducted an environmental scan of the gap year
industry, and developed mid- and end-point student surveys that
align with industry accreditation standards. The team’s final report
includes an evaluation blueprint with administration guidance and
recommendations for future improvements to LCP’s evaluation
framework.",MGT,Sonia Balaram,"Claudia Cereceda
Alexandra Cox
Jacob Johnson
Katherine Walsh",Management and Leadership,CAP-GP,3402,"Education, Nonprofits and Government, Program Evaluation"
2008,TEENS FOR FOOD JUSTICE,"ASSESSING THE FEASIBILITY OF EXPANSION INTO NYC CHARTER
SCHOOLS","Teens for Food Justice (TFFJ) is catalyzing a youth-led movement to
end food insecurity in one generation through high-capacity, school-
based hydroponic farming. TFFJ enlisted the Capstone team to help
with its expansion strategy by exploring the potential for partnering
with New York City charter schools to obviate some of the process
challenges that arise in working with NYC public schools. The
team produced an internal and external environmental scan, which
included interviewing staff members at TFFJ, charter schools, and
other nonprofits. The team's final report recommends how TFFJ can
expand strategically into NYC charter schools, including strategies
for addressing internal weaknesses and external threats while
leveraging strengths and opportunities.",MGT,Adrian Ogle,"Areej Alotaibi
Faisal Alsudairi
Yuxuan Cai
Jen Curtis
Erica Hartsfield",Management and Leadership,CAP-GP,3402,"Education, Social Justice and Democracy"
2009,THE MICHAEL J. FOX FOUNDATION,"LEVERAGING KNOWLEDGE MANAGEMENT AND ARTIFICIAL INTELLIGENCE
FOR REMOTE WORK","The Michael J. Fox Foundation (MJFF) is committed to finding a
cure for Parkinson's disease through aggressively funded research
and ensuring the development of improved therapies for those living
with the disease. As MJFF underwent rapid growth and transitioned
to a hybrid/remote work model, its People and Culture Business Unit
engaged the Capstone team to recommend improvements to the
organization’s knowledge management (KM). The team assessed
how MJFF systematically captures, creates, organizes, stores, and
shares essential information, with an eye toward identifying areas
for improvement, and surveyed employees internal and external to
MJFF to identify KM pain points. The team completed a literature
review to identify KM best practices, emerging AI technologies that
support KM, and ways of managing remote information sharing.
The team’s recommendations focus on empowering employees and
improving efficiency, while maintaining a mission-driven approach.",MGT,Adrian Ogle,"Maura Danehey
Alisha Gangadharan
Van Tingley
Nicole Vincencio",Management and Leadership,CAP-GP,3402,"Education, Health, Data Science and Data Management, Program Evaluation"
2010,CITY YEAR NEW YORK,"ENHANCING SUSTAINABLE DEVELOPMENT THROUGH FINANCE AND
GOVERNANCE STRUCTURE","City Year New York is an education-focused nonprofit organization that
partners with public schools to help keep students in school and on
track to succeed. The nonprofit is a steering committee member of the
Coalition for Community School Excellence (CCSE), which supports
New York City’s community schools initiative. City Year New York
engaged the Capstone team to form a comprehensive fundraising and
governance structure modification plan for CCSE to ensure its long-
term sustainability. The team conducted a literature review on existing
coalition models a e team’s report features recommendations for
CCSE’s financial and governance structure. These include diversifying
CCSE’s fundraising channels and optimizing the steering committee
size to enhance its dues structure, as well as increasing active
organizational membership and establishing a stable governance
framework for the coalition.",FIN,Gerry Ring,"Ricardo Godoy
Yifan Jiang
Jianing Lai
Yiling Qin
Rui Wang
Yuhan Zhou",Finance,CAP-GP,3402,"Education, Nonprofits and Government"
